IdModulo;Fabricante;Modelo;Potencia;Vmp;Imp;Isc;Vca;Eficiencia;Dimensiones;Peso;NumCelulas;Tipo;TaTONC;SalidaPotencia;TensionVacio;Tolerancia
2;PHONOSOLAR;"PS460M4-24/TH
";460;41,79;11,01;11,58;49,52;0;0;0;0;;;0;0;0
3;PHONOSOLAR;"PS455M4-24/TH
";455;41,6;0;11,47;0;0;0;0;0;;;0;0;0
4;PHONOSOLAR;PS460M5GFH-24/TSH;460;45,3;10,15;10,94;53,35;21,16;2094X1038;27,5;166;;"25±2
";0;0;0
5;JA_SOLAR;"JAM72S20 450/MR
";450;41,52;0;11,36;0;0;0;0;0;;;0;0;0
6;JA_SOLAR;"JAM72S20 455/MR
";455;41,82;0;11,41;0;0;0;0;0;;;0;0;0
8;JA_SOLAR;"JAM72S20 460/MR
";460;42,13;10,92;11,45;50,01;0;0;0;0;;;0;0;0
11;JA_SOLAR;"JAM72S20 545/MR
";545;41,8;0;13,93;0;0;0;0;0;;;0;0;0
12;JA_SOLAR;"JAM66S30 500MR
";500;38,35;13,04;13,93;45,59;21;2094x1134;26,3;132;MONO;"25±2
";-0,35;0,275;5
13;TRINA SOLAR;"TSM-DE17M 455
";455;0;0;0;0;0;0;0;0;;;0;0;0
14;SOLARDAY;"MPSHC144 450
";450;41,4;11,54;0;0;0;0;0;0;;;0;0;0
15;SOLARDAY;"MPSHC144 455
";450;41,59;11,59;0;0;0;0;0;0;;;0;0;0
16;SUNPOWER;"SP-P6-410-BLK
";410;29,9;13,73;14,63;35,9;0;0;0;0;;;0;0;0
17;FUTURASUN;"FU-420_ZEBRA_Pro-ALL_BLACK
";420;38,74;10,85;11,66;45,91;0;0;0;0;;;0;0;0
